#As_1e9    ns    H0    omegab    omegam    omegach2    w0pwa   w    xi+    xi+_msk    xi-    xi-_msk    gammat    gammat_msk    wtheta    wtheta_msk    msk
2.1314853 0.94815606 63.432904 0.041007768 0.317014 0.11041241 -1.0 -1.0552206 0.4986569246635994 0.08814915238502229 0.690769160772193 0.04144986573262797 0.05022379459820755 0.0067241811406574615 0.01252496867250262 0.0010461828620317234 0.8906538732662885
2.4960165 0.98234119 70.379995 0.04318226 0.30500491 0.12904462 -1.0 -0.90986663 1.0207894738591246 0.14458705298974328 1.4298426909307949 0.05448965185238827 0.12338588302078499 0.012343532631274828 0.03250238194937598 0.0014325548419528238 1.4039639954120777
2.0084307 0.99029577 60.739799 0.042226648 0.33844922 0.10864094 -1.0 -0.92315532 0.5310627082125741 0.07961837695301395 0.7338289169296037 0.033418873468416446 0.04889602858045224 0.006003365622203282 0.01354892776896542 0.0006211201169654709 0.7894499361817092
2.4727705 0.98462464 64.882399 0.053211462 0.33202721 0.11672865 -1.0 -1.0656609 0.8695800460691798 0.13811598304759437 1.195563776882219 0.05800272214495291 0.0877938294110392 0.010037173333044918 0.018860761547666846 0.0019175418453808578 1.3573876774333569
1.552558 0.98412939 65.955643 0.04829686 0.35447502 0.13254686 -1.0 -1.076523 0.5949347804496964 0.08841020599542816 0.8375448338877676 0.033847970114416745 0.04606325758336088 0.005557879675074832 0.009228773252349035 0.0006637371653429082 0.8419693678516803
1.5165669 0.93672358 68.998996 0.045077035 0.28354624 0.11288675 -1.0 -0.91177504 0.1557438366400961 0.030931295326482332 0.20643064494205465 0.014590704116391594 0.012914635464562445 0.002524029504649899 0.004834818527442872 0.0004931078198923905 0.31853214476520036
1.5837114 0.958077 72.385747 0.054965175 0.311463 0.13375193 -1.0 -0.92364622 0.3343931085581905 0.054320765982218217 0.4582481600144857 0.02256470179556608 0.027769847419446412 0.004117961485017584 0.007811777803283933 0.0007457950159415239 0.5391920048284671
1.9118485 0.94576668 68.238281 0.048173846 0.28190395 0.10819042 -1.0 -0.91162581 0.2114074411012702 0.04364407590541268 0.28527935066947996 0.02072247624678065 0.020521856174065656 0.0036691245562961643 0.009636011344429705 0.0010978806609008664 0.455787317042429
1.6429843 0.98981859 66.092466 0.054098003 0.33524607 0.12216635 -1.0 -1.1029295 0.46101403186461026 0.07083170297392194 0.6355705220881327 0.02845362060613915 0.03519128949424641 0.004696541373203637 0.007429565249956527 0.0008924903464422776 0.6886863748878861
2.260375 0.93963425 66.82375 0.051758765 0.31281236 0.11592609 -1.0 -0.87974504 0.43409969573420204 0.08227832858480362 0.5786604195454659 0.038799128402271836 0.045734441060817504 0.0065580314723919265 0.013532705099885934 0.0011856988918577363 0.8255565640821753
1.7711022 0.9504087 73.834748 0.042254205 0.31734625 0.14932322 -1.0 -0.90245287 0.7205864104659471 0.10266563557233098 1.0184884353103327 0.038411197038491295 0.07607258067041614 0.008297675589119032 0.019010990406242115 0.0008083849727061476 0.9917610996174336
1.6451612 0.94632062 72.286692 0.049140143 0.29866541 0.12974094 -1.0 -0.958662 0.3257544214368106 0.05480286287069938 0.4447413935386586 0.023506368177465542 0.029503417267129142 0.004327146759495753 0.022175160153275093 0.000834897685594811 0.5572884418774177
2.1647084 0.94747445 69.48931 0.048520836 0.31770247 0.12933632 -1.0 -0.95289111 0.6741078328569303 0.10733550538727135 0.9271333893251532 0.0461622074832639 0.072009150133622 0.008673681107588805 0.016988499537811088 0.0010891963254828414 1.0685812446860168
